slot_type,slot,use_custom_description,custom_description
Stock,Name,FALSE,The name of the Stock object. Single value. Character string
Stock,Common_Name,FALSE,Common name of the species. Character string
Stock,Species,FALSE,Scientific name of the species. Genus and species name. Character string
Stock,maxage,FALSE,The maximum age of individuals that is simulated (there is no plus group ). Single value. Positive integer
Stock,R0,FALSE,The magnitude of unfished recruitment. Single value. Positive real number
Stock,M,FALSE,Natural mortality rate. Uniform distribution lower and upper bounds. Positive real number
Stock,M2,FALSE,(Optional) Natural mortality rate at age. Vector of length maxage . Positive real number
Stock,Mexp,FALSE,Exponent of the Lorenzen function assuming an inverse relationship between M and weight. Uniform distribution lower and upper bounds. Real numbers <= 0.
Stock,Msd,FALSE,Inter-annual variability in natural mortality rate expressed as a coefficient of variation. Uniform distribution lower and upper bounds. Non-negative real numbers
Stock,Mgrad,FALSE,"No longer used. Previously mean temporal trend in natural mortality rate, expressed as a percentage change in M per year."
Stock,h,FALSE,Steepness of the stock recruit relationship. Uniform distribution lower and upper bounds. Values from 1/5 to 1
Stock,SRrel,FALSE,"Type of stock-recruit relationship. Single value, switch (1) Beverton-Holt (2) Ricker. Integer"
Stock,Perr,FALSE,"Process error, the CV of lognormal recruitment deviations. Uniform distribution lower and upper bounds. Non-negative real numbers"
Stock,AC,FALSE,Autocorrelation in recruitment deviations rec(t)=AC*rec(t-1)+(1-AC)*sigma(t). Uniform distribution lower and upper bounds. Non-negative real numbers
Stock,Period,FALSE,(Optional) Period for cyclical recruitment pattern in years. Uniform distribution lower and upper bounds. Non-negative real numbers
Stock,Amplitude,FALSE,(Optional) Amplitude in deviation from long-term average recruitment during recruitment cycle (eg a range from 0 to 1 means recruitment decreases or increases by up to 100% each cycle). Uniform distribution lower and upper bounds. 0 < Amplitude < 1
Stock,Linf,FALSE,Maximum length. Uniform distribution lower and upper bounds. Positive real numbers
Stock,K,FALSE,von Bertalanffy growth parameter k. Uniform distribution lower and upper bounds. Positive real numbers
Stock,t0,FALSE,von Bertalanffy theoretical age at length zero. Uniform distribution lower and upper bounds. Non-positive real numbers
Stock,LenCV,FALSE,Coefficient of variation of length-at-age (assumed constant for all age classes). Uniform distribution lower and upper bounds. Positive real numbers
Stock,Ksd,FALSE,Inter-annual variability in growth parameter k expressed as coefficient of variation. Uniform distribution lower and upper bounds. Non-negative real numbers
Stock,Kgrad,FALSE,"No longer used. Previously mean temporal trend in growth parameter k, expressed as a percentage change in k per year."
Stock,Linfsd,FALSE,Inter-annual variability in maximum length expressed as a coefficient of variation. Uniform distribution lower and upper bounds. Non-negative real numbers
Stock,Linfgrad,FALSE,"No longer used. Previously mean temporal trend in maximum length, expressed as a percentage change in Linf per year."
Stock,L50,FALSE,Length at 50 percent maturity. Uniform distribution lower and upper bounds. Positive real numbers
Stock,L50_95,FALSE,Length increment from 50 percent to 95 percent maturity. Uniform distribution lower and upper bounds. Positive real numbers
Stock,D,FALSE,Current level of stock depletion SSB(current)/SSB(unfished). Uniform distribution lower and upper bounds. Fraction
Stock,a,FALSE,Length-weight parameter alpha. Single value. Positive real number
Stock,b,FALSE,Length-weight parameter beta. Single value. Positive real number
Stock,Size_area_1,FALSE,The size of area 1 relative to area 2. Uniform distribution lower and upper bounds. Positive real numbers
Stock,Frac_area_1,FALSE,The fraction of the unfished biomass in stock 1. Uniform distribution lower and upper bounds. Positive real numbers
Stock,Prob_staying,FALSE,The probability of inviduals in area 1 remaining in area 1 over the course of one year. Uniform distribution lower and upper bounds. Positive fraction.
Stock,Fdisc,FALSE,Fraction of discarded fish that die. Uniform distribution lower and upper bounds. Non-negative real numbers
Stock,Source,FALSE,A reference to a website or article from which parameters were taken to define the stock object. Single value. Character string.
Fleet,Name,FALSE,Name of the Fleet object. Single value. Character string.
Fleet,nyears,FALSE,The number of years for the historical spool-up simulation. Single value. Positive integer
Fleet,Spat_targ,FALSE,Distribution of fishing in relation to spatial biomass: fishing distribution is proportional to B^Spat_targ. Uniform distribution lower and upper bounds. Real numbers
