Year,Observed catch
1956,1.376502
1957,2.297837
1958,3.527381
1959,2.816901
1960,2.128429
1961,1.403762
1962,1.889629
1963,2.695157
1964,5.547977
1965,9.379175
1966,9.793973
1967,5.101067
1968,5.520875
1969,3.259089
1970,1.395683
1971,1.706994
1972,3.434427
1973,4.450836
1974,5.464008
1975,6.35228
1976,6.648152
1977,4.413248
1978,3.862416
1979,6.51781
1980,5.922337
1981,4.034507
1982,2.65902
1983,2.897481
1984,2.13057
1985,1.363256
1986,2.3393567
1987,12.112233609999999
1988,8.049324389999999
1989,5.55084216
1990,4.38480446
1991,9.676797720000001
1992,7.14796927
1993,5.41581308
1994,2.2364607000000003
1995,1.67173408
1996,0.77127753
1997,1.39990454
1998,1.23344081
1999,0.74194432
2000,0.5623504
2001,0.2571804
2002,0.41186311999999997
2003,0.52514563
2004,0.82430794
2005,1.0983431499999998
2006,0.81824788
2007,0.45349333000000003
2008,0.2643124
2009,0.6296754
2010,1.5068468799999999
2011,1.25750023
2012,0.86222047
2013,0.87547871
2014,0.9105743199999999
2015,0.9475520599999999
2016,0.5413882099999999
2017,0.35350406
2018,0.25030087
2019,0.06251712000000001
