year,hours_fished
1967,6.5
1970,322.79999637603754
1971,231.2999981045722
1972,18.10000014305118
1977,111.39999914169303
1978,292.6999981403351
1979,179.99999953806403
1980,508.4000034332275
1981,759.7999990582467
1982,696.1999977231022
1983,599.5999994277953
1984,812.0999979972837
1985,1508.2999942302702
1986,1179.2000101208687
1987,788.9999995231627
1988,1059.0999979972837
1989,1808.199995279312
1990,2608.300005316734
1991,1515.3999971896408
1992,3679.899999216198
1993,6734.099998071788
1994,7236.099993132053
1995,10026.09999321401
1996,5367.016017876565
1997,3973.682879731058
1998,4541.36613228917
1999,3378.3662411458777
2000,3593.766216263174
2001,2892.0662637352934
2002,2649.8496455401178
2003,1960.5163985788818
2004,2008.883048832416
2005,1920.149726748466
2006,2149.6663562506433
2007,2561.6996666193
2008,3038.449581444263
2009,2179.2163445502515
2010,2302.8496550470586
2011,3079.3329125195737
2012,2922.316271051764
2013,3317.6662200689307
2014,3019.149610906839
2015,2612.7662925273175
2016,2686.6662786565716
2017,3301.1161625683303
2018,4110.865986779331
