year,CommCPUE_hist,CommCPUE_modern,CV
1956,113.97,NA,0.296735905
1957,122.67,NA,0.296735905
1958,228.23,NA,0.325732899
1959,115.69,NA,0.328947368
1960,89.63,NA,0.318471338
1961,37.06,NA,0.33557047
1962,66.42,NA,0.305810398
1963,102.42,NA,0.307692308
1964,248.95,NA,0.281690141
1965,326.07,NA,0.263852243
1966,261.86,NA,0.224215247
1967,352.3,NA,0.219298246
1968,126.1,NA,0.219298246
1969,70.98,NA,0.224719101
1970,39.44,NA,0.230414747
1971,56.51,NA,0.238095238
1972,167.45,NA,0.242718447
1973,182.32,NA,0.238663484
1974,258.09,NA,0.237529691
1975,213.65,NA,0.224215247
1976,156.24,NA,0.224719101
1977,134.58,NA,0.224215247
1978,117.97,NA,0.221238938
1979,188.77,NA,0.21141649
1980,121.12,NA,0.209205021
1981,73.39,NA,0.221238938
1982,104.38,NA,0.218340611
1983,86.85,NA,0.215517241
1984,71.42,NA,0.22172949
1985,70.65,NA,0.227790433
1986,105.52,NA,0.213675214
1987,238.86,NA,0.209643606
1988,145.16,NA,0.20661157
1989,80.13,NA,0.205761317
1990,93.69,NA,0.2
1991,168.23,NA,0.191570881
1992,164.6,NA,0.180505415
1993,99.21,NA,0.179856115
1994,55.27,NA,0.183486239
1995,30.9,NA,0.187265918
1996,NA,131.955187,0.368905724
1997,NA,126.9980431,0.368835288
1998,NA,117.517743,0.368369178
1999,NA,77.29669916,0.368134927
2000,NA,60.48692608,0.368370162
2001,NA,59.04240395,0.368910519
2002,NA,96.31365084,0.368389237
2003,NA,167.4853027,0.367725649
2004,NA,186.3255549,0.368606077
2005,NA,191.8459373,0.367385363
2006,NA,133.8191554,0.369723864
2007,NA,66.85537165,0.370621333
2008,NA,45.15548461,0.371932969
2009,NA,119.5759042,0.370794203
2010,NA,281.1055166,0.369035945
2011,NA,236.6292189,0.370111809
2012,NA,160.4098232,0.371768303
2013,NA,173.3424014,0.370819991
2014,NA,233.5421193,0.374986434
2015,NA,167.4542065,0.372820555
2016,NA,142.8068757,0.37419172
2017,NA,119.2834663,0.375885065
